# Foundry naming map (generated by generate_map.py).
# Do not edit by hand: edit seed.tsv and regenerate.
# Applied LONGEST-MATCH-FIRST. Excludes thirdparty/** and .git/**.
#
# from	to	category	context	notes
GDExtensionClassVirtualMethodInfo	FoundryExtensionClassVirtualMethodInfo	B	code	generated
GDExtensionInitializationFunction	FoundryExtensionInitializationFunction	B	code	generated
GDExtensionScriptInstanceGetOwner	FoundryExtensionScriptInstanceGetOwner	B	code	generated
GDExtensionScriptInstanceToString	FoundryExtensionScriptInstanceToString	B	code	generated
GDExtensionUninitializedObjectPtr	FoundryExtensionUninitializedObjectPtr	B	code	generated
GDExtensionUninitializedStringPtr	FoundryExtensionUninitializedStringPtr	B	code	generated
GODOT_ANDROID_KEYSTORE_DEBUG_PATH	FOUNDRY_ANDROID_KEYSTORE_DEBUG_PATH	D	code	generated
GODOT_ANDROID_KEYSTORE_DEBUG_USER	FOUNDRY_ANDROID_KEYSTORE_DEBUG_USER	D	code	generated
GODOT_GCC_WARNING_PUSH_AND_IGNORE	FOUNDRY_GCC_WARNING_PUSH_AND_IGNORE	D	code	generated
GODOT_MACOS_NOTARIZATION_API_UUID	FOUNDRY_MACOS_NOTARIZATION_API_UUID	D	code	generated
GODOT_SCENE_TREE_FTI_EXTRA_CHECKS	FOUNDRY_SCENE_TREE_FTI_EXTRA_CHECKS	D	code	generated
_get_gdextension_list_config_file	_get_foundry_extension_list_config_file	B	code
dump_gdextension_interface_header	dump_foundry_extension_interface_header	B	code
GDExtensionCallableCustomIsValid	FoundryExtensionCallableCustomIsValid	B	code	generated
GDExtensionClassFreePropertyList	FoundryExtensionClassFreePropertyList	B	code	generated
GDExtensionClassRecreateInstance	FoundryExtensionClassRecreateInstance	B	code	generated
GDExtensionClassValidateProperty	FoundryExtensionClassValidateProperty	B	code	generated
GDExtensionMainLoopFrameCallback	FoundryExtensionMainLoopFrameCallback	B	code	generated
GDExtensionScriptInstanceDataPtr	FoundryExtensionScriptInstanceDataPtr	B	code	generated
GODOT_MACOS_NOTARIZATION_API_KEY	FOUNDRY_MACOS_NOTARIZATION_API_KEY	D	code	generated
GODOT_NIR_SC_SENTINEL_MAGIC_MASK	FOUNDRY_NIR_SC_SENTINEL_MAGIC_MASK	D	code	generated
get_gdextension_list_config_file	get_foundry_extension_list_config_file	B	code
test_conversion_gdscript_builtin	test_conversion_foundry_script_builtin	A	code
GDExtensionClassCreateInstance2	FoundryExtensionClassCreateInstance2	B	code	generated
GDExtensionClassGetPropertyList	FoundryExtensionClassGetPropertyList	B	code	generated
GDExtensionDeinitializeCallback	FoundryExtensionDeinitializeCallback	B	code	generated
GDExtensionInterfaceFunctionPtr	FoundryExtensionInterfaceFunctionPtr	B	code	generated
GDExtensionPtrOperatorEvaluator	FoundryExtensionPtrOperatorEvaluator	B	code	generated
GDExtensionUninitializedTypePtr	FoundryExtensionUninitializedTypePtr	B	code	generated
GDExtensionWorkerThreadPoolTask	FoundryExtensionWorkerThreadPoolTask	B	code	generated
GODOT_JS_FETCH_STATE_REQUESTING	FOUNDRY_JS_FETCH_STATE_REQUESTING	D	code	generated
GODOT_MTL_DISABLE_IMAGE_ATOMICS	FOUNDRY_MTL_DISABLE_IMAGE_ATOMICS	D	code	generated
GODOT_SCENE_TREE_FTI_PRINT_TREE	FOUNDRY_SCENE_TREE_FTI_PRINT_TREE	D	code	generated
GODOT_UPDATE_INTERPOLATION_TICK	FOUNDRY_UPDATE_INTERPOLATION_TICK	D	code	generated
GODOT_WINDOWS_CODESIGN_IDENTITY	FOUNDRY_WINDOWS_CODESIGN_IDENTITY	D	code	generated
