# Foundry PROSE-SAFE naming map (derived from naming_map.tsv).
# Do not edit by hand: edit seed.tsv and regenerate.
# Applied LONGEST-MATCH-FIRST. Excludes thirdparty/** and .git/**.
#
# from	to	category	context	notes
GODOT_RECT2_SIZE	FOUNDRY_RECT2_SIZE	D	code	generated
base_is_gdscript	base_is_foundry_script	A	code
gdextension-docs	foundryextension-docs	B	code	--gdextension-docs CLI flag
is_gdscript_path	is_foundry_script_path	A	code
GDSCRIPT_NO_LSP	FOUNDRY_SCRIPT_NO_LSP	A	code	build define
GODOT_AABB_SIZE	FOUNDRY_AABB_SIZE	D	code	generated
GODOT_USE_TRACY	FOUNDRY_USE_TRACY	D	code	generated
gdextensionLibs	foundryextensionLibs	B	code	web export config key
gdextensionlibs	foundryextensionlibs	B	code	android libs json path component
GDScriptParser	FSParser	A	code	gdscript family prefix GDScript->FS
GODOT_LINUXBSD	FOUNDRY_LINUXBSD	D	code	generated
GODOT_RID_SIZE	FOUNDRY_RID_SIZE	D	code	generated
"gdextension"	"foundryextension"	B	code	resource loader recognized-extension string
GDScriptCache	FSCache	A	code
GODOT_ANDROID	FOUNDRY_ANDROID	D	code	generated
GODOT_VERSION	FOUNDRY_VERSION	D	code
GODOT_WINDOWS	FOUNDRY_WINDOWS	D	code	generated
TYPE_GDSCRIPT	TYPE_FOUNDRY_SCRIPT	A	code
_gdextension_	_foundry_extension_	B	code	leading-underscore gdextension prefix
project.godot	project.foundry	D	both
.gdextension	.foundryextension	B	both	file format extension
GDEXTENSION_	FOUNDRY_EXTENSION_	B	code	all-caps macro/enum prefix (apply BEFORE bare GDEXTENSION)
GODOT_CONFIG	FOUNDRY_CONFIG	D	code	generated
GODOT_IPHONE	FOUNDRY_IPHONE	D	code	generated
GODOT_MOBILE	FOUNDRY_MOBILE	D	code	generated
GODOT_MODULE	FOUNDRY_MODULE	D	code	generated
GODOT_SPLASH	FOUNDRY_SPLASH	D	code	generated
gdextension_	foundry_extension_	B	code	lowercase file/include/identifier prefix
gdextensions	foundry_extensions	B	code	bare plural (apply AFTER *_gdextensions compounds)
